ACT Symbol,Security Name,Exchange
DEO,Diageo plc Common Stock,N
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,N
DF,Dean Foods Company Common Stock,N
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",N
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,N
DFS,Discover Financial Services Common Stock,N
DFS$B,Discover Financial Services Dep Shs,N
DFT,"Dupont Fabros Technology, Inc. Common Stock",N
DFT$C,"Dupont Fabros Technology, Inc. 6.625% Series C Cumulative Redeemable Perpetual Preferred Stock",N
DG,Dollar General Corporation Common Stock,N
DGI,"DigitalGlobe, Inc Common Stock",N
DGX,Quest Diagnostics Incorporated Common Stock,N
DHF,Dreyfus High Yield Strategies Fund Common Stock,N
DHG,"Deutsche High Income Opportunities Fund, Inc  New Common Stock",N
DHI,"D.R. Horton, Inc. Common Stock",N
DHR,Danaher Corporation Common Stock,N
DHT,"DHT Holdings, Inc.",N
DHX,"DHI Group, Inc. Common Stock",N
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,N
DIN,"DineEquity, Inc Common Stock",N
DIS,Walt Disney Company (The) Common Stock,N
DK,"Delek US Holdings, Inc. Common Stock",N
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",N
DKS,Dick's Sporting Goods Inc Common Stock,N
DKT,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,N
DL,China Distance Education Holdings Limited American Depositary Shares,N
DLB,Dolby Laboratories Common Stock,N
DLNG,Dynagas LNG Partners LP Common Units,N
DLNG$A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,N
DLPH,Delphi Automotive plc Ordinary Shares,N
DLR,"Digital Realty Trust, Inc. Common Stock",N
DLR$G,"Digital Realty Trust, Inc. Preferred Series G",N
DLR$H,"Digital Realty Trust, Inc. Redeemable Preferred Stock Series H",N
DLR$I,"Digital Realty Trust, Inc. 6.350% Series I Cumulative Redeemable Preferred Stock, par value $0.01 per share",N
DLR$J,"Digital Realty Trust, Inc. 5.250% Series J Cumulative Redeemable Preferred Stock",N
DLX,Deluxe Corporation Common Stock,N
DM,"Dominion Energy Midstream Partners, LP Common Units representing Limited Partner Interests",N
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Common Stock",N
DMO,Western Asset Mortgage Defined Opportunity Fund Inc Common Stock,N
DNB,Dun & Bradstreet Corporation (The) Common Stock,N
DNI,Dividend and Income Fund Common Stock,N
DNOW,NOW Inc. Common Stock,N
DNP,"DNP Select Income Fund, Inc. Common Stock",N
DNR,Denbury Resources Inc. Common Stock,N
DO,"Diamond Offshore Drilling, Inc. Common Stock",N
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,N
DOOR,Masonite International Corporation Ordinary Shares (Canada),N
DOV,Dover Corporation Common Stock,N
DPG,Duff & Phelps Global Utility Income Fund Inc. Common Stock,N
DPLO,"Diplomat Pharmacy, Inc. Common Stock",N
DPS,"Dr Pepper Snapple Group, Inc Dr Pepper Snapple Group, Inc  Common Stock",N
DPZ,Domino's Pizza Inc Common Stock,N
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N
DRD,DRDGOLD Limited American Depositary Shares,N
DRE,Duke Realty Corporation Common Stock,N
DRH,Diamondrock Hospitality Company Common Stock,N
DRI,"Darden Restaurants, Inc. Common Stock",N
DRQ,"Dril-Quip, Inc. Common Stock",N
DRUA,"Dominion Energy, Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076",N
DS,Drive Shack Inc.,N
DS$B,Drive Shack Inc. Preferred Series B,N
DS$C,Drive Shack Inc. Preferred Series C,N
DS$D,Drive Shack Inc. Pfd Ser D,N
DSE,Duff & Phelps Select Energy MLP Fund Inc. Common Stock,N
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,N
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc. Common Stock",N
DST,"DST Systems, Inc. Common Stock",N
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",N
DSW,DSW Inc. Common Stock,N
DSX,Diana Shipping inc. common stock,N
DSX$B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),N
DSXN,Diana Shipping Inc. 8.50% Senior Notes due 2020,N
DTE,DTE Energy Company Common Stock,N
DTF,"DTF Tax-Free Income, Inc. Common Stock",N
DTJ,DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076,N
DTK,Deutsche Bk Contingent Cap Tr III Tr Pfd Secs,N
DTLA$,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,N
DTQ,"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",N
DTV,DTE Energy Company 2016 Corporate Units,N
DTY,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076,N
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock",N
DUK,Duke Energy Corporation (Holding Company) Common Stock,N
DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,N
DVA,DaVita Inc. Common Stock,N
DVD,"Dover Motorsports, Inc. Common Stock",N
DVMT,Dell Technologies Inc. Class V Common Stock,N
DVN,Devon Energy Corporation Common Stock,N
DWDP,DowDuPont Inc. Common Stock,N
DX,"Dynex Capital, Inc. Common Stock",N
DX$A,"Dynex Capital, Inc. Preferred Stock Series A",N
DX$B,"Dynex Capital, Inc. Preferred Series B",N
DXB,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,N
DXC,DXC Technology Company Common Stock ,N
DY,"Dycom Industries, Inc. Common Stock",N
DYN,Dynegy Inc. Common Stock,N
DYN$A,Dynegy Inc. Mandatory Preferred Convertible Series A%,N
DYN.A,"Dynegy Inc. Warrants to purchase Common Stock (Expirig February 2, 2024)",N
DYN.W,"Dynegy Inc. Warrant expiring October 2, 2017",N
DYNC,Dynegy Inc. 7.00% Tangible Equity Units,N
E,ENI S.p.A. Common Stock,N
EAB,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.90% Series Due December 1, 2052",N
EAE,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.75% Series due June 1, 2063",N
EAI,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.875% Series Due September 1, 2066",N
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,N
EAT,"Brinker International, Inc. Common Stock",N
EBF,"Ennis, Inc. Common Stock",N
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),N
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share),N
EBS,"Emergent Biosolutions, Inc. Common Stock",N
EC,Ecopetrol S.A. American Depositary Shares,N
ECA,Encana Corporation,N
ECC,Eagle Point Credit Company Inc. Common Stock,N
ECCA,Eagle Point Credit Company Inc. Series A Term Preferred Stock due 2022,N
ECCB,Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026,N
ECCY,Eagle Point Credit Company Inc. 6.75% Notes due 2027,N
ECCZ,Eagle Point Credit Company Inc. 7.00% Notes due 2020,N
ECL,Ecolab Inc. Common Stock,N
ECOM,ChannelAdvisor Corporation Common Stock,N
ECR,Eclipse Resources Corporation Common Stock,N
ECT,ECA Marcellus Trust I Common Units of Beneficial Interest,N
ED,"Consolidated Edison, Inc. Common Stock",N
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",N
EDF,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,N
EDI,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests,N
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,N
EDR,"Education Realty Trust, Inc. Common Stock",N
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)",N
EE,El Paso Electric Company Common Stock,N
EEA,"The European Equity Fund, Inc. Common Stock",N
EEP,"Enbridge Energy, L.P. Class A Common Units",N
EEQ,Enbridge Energy Management LLC Shares repstg limited liability company interests,N
EEX,"Emerald Expositions Events, Inc. Common Stock",N
EFC,"Ellington Financial LLC Common Shares representing Limitied Liability Company Interests, no par valu",N
EFF,Eaton vance Floating-Rate Income Plus Fund Common Shares of Beneficial Interest,N
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,N
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,N
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,N
EFX,"Equifax, Inc. Common Stock",N
EGF,"Blackrock Enhanced Government Fund, Inc. Common Stock",N
EGIF,Eagle Growth and Income Opportunities Fund Common Shares of Beneficial Interest,N
EGL,"Engility Holdings, Inc. Common Stock",N
EGN,Energen Corporation Common Stock,N
EGO,Eldorado Gold Corporation Ordinary Shares,N
EGP,"EastGroup Properties, Inc. Common Stock",N
EGY,Vaalco Energy Inc Common Stock,N
EHI,Western Asset Global High Income Fund Inc Common Stock,N
EHIC,eHi Car Services Limited American Depositary Shares,N
EHT,Eaton Vance High Income 2021 Target Term Trust Common Shares of Beneficial Interest,N
EIG,Employers Holdings Inc Common Stock,N
EIX,Edison International Common Stock,N
EL,"Estee Lauder Companies, Inc. (The) Common Stock",N
ELC,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066",N
ELF,"e.l.f. Beauty, Inc. Common Stock",N
ELJ,"Entergy Louisiana, Inc. First Mortgage Bonds, 5.25% Series due July 1, 2052",N
ELLI,"Ellie Mae, Inc. Common Stock",N
ELP,Companhia Paranaense de Energia (COPEL) Common Stock,N
ELS,"Equity Lifestyle Properties, Inc. Common Stock",N
ELS$C,"Equity Lifestyle Properties, Inc. Depositary Shares",N
ELU,"Entergy Louisiana, Inc. First Mortgage Bonds, 4.70% Series due June 1, 2063",N
ELVT,"Elevate Credit, Inc. Common Stock",N
ELY,Callaway Golf Company Common Stock,N
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,N
EME,"EMCOR Group, Inc. Common Stock",N
EMES,Emerge Energy Services LP Common Units representing Limited Partner Interests,N
EMF,Templeton Emerging Markets Fund Common Stock,N
EMN,Eastman Chemical Company Common Stock,N
EMO,ClearBridge Energy MLP Opportunity Fund Inc. Common Stock,N
EMP,"Entergy Mississippi, Inc. First Mortgage Bonds, 4.90% Series Due October 1, 2066",N
EMR,Emerson Electric Company Common Stock,N
ENB,Enbridge Inc Common Stock,N
ENBL,"Enable Midstream Partners, LP Common Units representing limited partner interests",N
ENH$C,"Endurance Specialty Holdings Ltd Depositary Shares, each Representing a 1/1000th Interest in a Share of 6.350% Non-Cumulative Preferred Shares, Series C, $1.00 par value",N
ENIA,Enel Americas S.A. American Depositary Shares,N
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),N
ENJ,"Entergy New Orleans, Inc. First Mortgage Bonds, 5.0% Series due December 1, 2052",N
ENLC,"EnLink Midstream, LLC Common Units representing Limited Partner Interests",N
ENLK,"EnLink Midstream Partners, LP Common Units Representing Limited Partnership Interests",N
ENO,"Entergy New Orleans, Inc. First Mortgage Bonds, 5.50% Series due April 1, 2066",N
ENR,"Energizer Holdings, Inc. Common Stock",N
ENS,Enersys Common Stock,N
ENV,"Envestnet, Inc Common Stock",N
ENVA,"Enova International, Inc. Common Stock",N
ENZ,"Enzo Biochem, Inc. Common Stock ($0.01 Par Value)",N
EOCC,Enel Generacion Chile S.A. American Depositary Shares (Each representing 30 shares of Common Stock),N
EOD,Wells Fargo Global Dividend Opportunity Fund,N
EOG,"EOG Resources, Inc. Common Stock",N
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,N
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,N
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,N
EP$C,El Paso Corporation Preferred Stock,N
EPAM,"EPAM Systems, Inc. Common Stock",N
EPC,Edgewell Personal Care Company Common Stock,N
EPD,Enterprise Products Partners L.P. Common Stock,N
EPE,EP Energy Corporation Class A Common Stock,N
EPR,EPR Properties Common Stock,N
EPR$C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,N
EPR$E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,N
EPR$F,EPR Properties Pfd Ser F,N
EQC,Equity Commonwealth Common Shares of Beneficial Interest,N
EQC$D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,N
EQCO,Equity Commonwealth 5.75% Senior Notes due 2042,N
EQGP,"EQT GP Holdings, LP Common Units representing limited partner interests",N
EQM,"EQT Midstream Partners, LP Common Units representing Limited Partner Interests",N
EQR,Equity Residential Common Shares of Beneficial Interest,N
EQS,"Equus Total Return, Inc. Common Stock",N
EQT,EQT Corporation Common Stock,N
ERA,"Era Group, Inc. Common Stock",N
ERF,Enerplus Corporation Common Stock,N
ERJ,Embraer S.A. Common Stock,N
EROS,Eros International PLC A Ordinary Shares,N
ES,Eversource Energy (D/B/A) Common Stock,N
ESE,ESCO Technologies Inc. Common Stock,N
ESL,Esterline Technologies Corporation Common Stock,N
ESNT,Essent Group Ltd. Common Shares,N
ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",N
ESS,"Essex Property Trust, Inc. Common Stock",N
ESTE,"Earthstone Energy, Inc. Class A Common Stock",N
ESV,Ensco plc Class A Ordinary Shares,N
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,N
ETE,"Energy Transfer Equity, L.P. Energy Transfer Equity, L.P. Common Units representing Limited Partnership interests",N
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,N
ETH,Ethan Allen Interiors Inc. Common Stock,N
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,N
ETM,Entercom Communications Corporation Common Stock,N
ETN,"Eaton Corporation, PLC Ordinary Shares",N
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,N
ETP,"Energy Transfer Partners, L.P. Common Units representing limited partner interests",N
ETR,Entergy Corporation Common Stock,N
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,N
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,N
ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,N
ETY,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",N
EURN,Euronav NV Ordinary Shares,N
EV,Eaton Vance Corporation Common Stock,N
EVA,"Enviva Partners, LP Common units representing limited partner interests",N
EVC,Entravision Communications Corporation Common Stock,N
EVF,Eaton Vance Senior Income Trust Common Stock,N
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,N
EVH,"Evolent Health, Inc Class A Common Stock",N
EVHC,Envision Healthcare Corporation Common Stock,N
EVN,Eaton Vance Municipal Income Trust Common Stock,N
EVR,Evercore Inc. Class A Common Stock,N
EVRI,Everi Holdings Inc. Common Stock,N
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,N
EVTC,"Evertec, Inc. Common Stock",N
EW,Edwards Lifesciences Corporation Common Stock,N
EXC,Exelon Corporation Common Stock,N
EXD,Eaton Vance Tax-Advantaged Bond Common Shares of Beneficial Interest,N
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,N
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),N
EXP,Eagle Materials Inc Common Stock,N
EXPR,"Express, Inc. Common Stock",N
EXR,Extra Space Storage Inc Common Stock,N
EXTN,Exterran Corporation Common Stock,N
EZT,"Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1, 2064",N
F,Ford Motor Company Common Stock,N
FAC,First Acceptance Corporation,N
FAF,First American Corporation (New) Common Stock,N
FAM,First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest,N
FBC,"Flagstar Bancorp, Inc. Common Stock",N
FBHS,"Fortune Brands Home & Security, Inc. Common Stock",N
FBK,FB Financial Corporation Common Stock,N
FBM,"Foundation Building Materials, Inc. Common Stock",N
FBP,First BanCorp. New Common Stock,N
FBR,Fibria Celulose S.A.,N
FC,Franklin Covey Company Common Stock,N
FCAU,Fiat Chrysler Automobiles N.V. Common Shares,N
FCB,"FCB Financial Holdings, Inc. Class A Common Stock",N
FCE.A,"Forest City Realty Trust, Inc. Common Stock",N
FCF,First Commonwealth Financial Corporation Common Stock,N
FCFS,"First Cash, Inc. Common Stock",N
FCN,"FTI Consulting, Inc. Common Stock",N
FCPT,"Four Corners Property Trust, Inc. Common Stock",N
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,N
FCX,"Freeport-McMoRan, Inc. Common Stock",N
FDC,First Data Corporation Class A Common Stock,N
FDEU,First Trust Dynamic Europe Equity Income Fund Common Shares of Beneficial Interest,N
FDP,"Fresh Del Monte Produce, Inc. Common Stock",N
FDS,FactSet Research Systems Inc. Common Stock,N
FDX,FedEx Corporation Common Stock,N
FE,FirstEnergy Corporation Common Stock,N
FEI,First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,N
FELP,Foresight Energy LP Common Units representing Limited Partner Interests,N
FENG,"Phoenix New Media Limited American Depositary Shares, each representing 8 Class A ordinary shares.",N
FEO,First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest,N
FET,"Forum Energy Technologies, Inc. Common Stock",N
FF,FutureFuel Corp.  Common shares,N
FFA,First Trust Enhanced Equity Income Fund,N
FFC,Flaherty & Crumrine Preferred Securities Income Fund Incorporated,N
FFG,"FBL Financial Group, Inc. Common Stock",N
FGB,First Trust Specialty Finance and Financial Opportunities Fund,N
FGL,Fidelity & Guaranty Life Common Stock,N
FGP,"Ferrellgas Partners, L.P. Common Stock",N
FHN,First Horizon National Corporation Common Stock,N
FHN$A,First Horizon National Corporation Depositary Shares,N
FHY,First Trust Strategic High Income Fund II First Trust Strategic High Income Fund II Common Shares of Beneficial Interest,N
FI,Frank's International N.V. Common Stock,N
FICO,Fair Isaac Corproation Common Stock,N
FIF,First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest,N
FIG,Fortress Investment Group LLC Class A Common Stock,N
FII,"Federated Investors, Inc. Common Stock",N
FIS,"Fidelity National Information Services, Inc. Common Stock",N
FIT,"Fitbit, Inc. Class A Common Stock",N
FIV,First Trust Senior Floating Rate 2022 Target Term Fund Common Shares of Beneficial Interest,N
FIX,"Comfort Systems USA, Inc. Common Stock",N
FL,"Foot Locker, Inc.",N
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,N
FLO,"Flowers Foods, Inc. Common Stock",N
FLOW,"SPX FLOW, Inc. Common Stock",N
FLR,Fluor Corporation Common Stock,N
FLS,Flowserve Corporation Common Stock,N
FLT,"FleetCor Technologies, Inc. Common Stock",N
FLY,Fly Leasing Limited,N
FMC,FMC Corporation Common Stock,N
FMN,Federated Premier Municipal Income Fund Federated Premier Municipal Income Fund,N
FMO,Fiduciary/Claymore MLP Opportunity Fund Fiduciary/Claymore MLP Opportunity Fund Common Shares of Beneficial Interest,N
FMS,Fresenius Medical Care AG Common Stock,N
FMSA,Fairmount Santrol Holdings Inc. Common Stock,N
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,N
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,N
FN,Fabrinet Ordinary Shares,N
FNB,F.N.B. Corporation Common Stock,N
FNB$E,"F.N.B. Corporation Depositary Shares, each representing a 1/40th interest in a share of Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred  Stock, Series E",N
FND,"Floor & Decor Holdings, Inc. Common Stock",N
FNF,"FNF Group of Fidelity National Financial, Inc. Common Stock",N
FNFV,"FNFV Group of Fidelity National Financial, Inc. Common Stock",N
FNV,Franco-Nevada Corporation,N
FOE,Ferro Corporation Common Stock,N
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",N
FOR,Forestar Group Inc Common Stock,N
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,N
FPH,"Five Point Holdings, LLC Class A Common Shares",N
FPI,Farmland Partners Inc. Common Stock,N
FPI$B,Farmland Partners Inc. Series B Participating Preferred Stock,N
FPL,First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,N
FPO,First Potomac Realty Trust Common Shares of Beneficial Interest,N
FPT,Federated Premier Intermediate Municipal Income Fund Federated Premier Intermediate Municipal Income Fund,N
FR,"First Industrial Realty Trust, Inc. Common Stock",N
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,N
FRAC,"Keane Group, Inc. Common Stock",N
FRC,FIRST REPUBLIC BANK Common Stock,N
FRC$C,FIRST REPUBLIC BANK Dep Shs Repstg 1/40th Perp Pfd Ser C,N
FRC$D,First Republic Bank San Francisco California Depositary Shares Representing 1/40th Perpetual Preferred Series D,N
FRC$E,FIRST REPUBLIC BANK Depositary Shs Repstg 1/40th Perp Pfd Ser E Fixed To Fltg (RATE),N
FRC$F,"FIRST REPUBLIC BANK Depositary Shares, each representing a 1/40th interest in a share of 5.70% Noncumulative Perpetual Series F Preferred Stock",N
FRC$G,"FIRST REPUBLIC BANK Depositary Shares, each representing a 1/40th interest in a share of 5.50% Noncumulative Perpetual Series G Preferred Stock",N
FRC$H,"FIRST REPUBLIC BANK Depositary Shares, each representing a 1/40th interest in a share of 5.125% Noncumulative Perpetual Series H Preferred Stock, par value $0.01 per share",N
FRO,Frontline Ltd. Ordinary Shares,N
FRT,Federal Realty Investment Trust Common Stock,N
FSB,"Franklin Financial Network, Inc. Common Stock",N
FSCE,Fifth Street Finance Corp. 5.875% Senior Notes due 2024,N
FSD,First Trust High Income Long Short Fund Common Shares of Beneficial Interest,N
FSIC,FS Investment Corporation Common Stock,N
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada),N
FSS,Federal Signal Corporation Common Stock,N
FT,Franklin Universal Trust Common Stock,N
FTAI,Fortress Transportation and Infrastructure Investors LLC Common Shares,N
FTI,TechnipFMC plc Ordinary Share,N
FTK,"Flotek Industries, Inc. Common Stock",N
FTS,Fortis Inc. Common Shares,N
FTV,Fortive Corporation Common Stock ,N
FUL,H. B. Fuller Company Common Stock,N
FUN,"Cedar Fair, L.P. Common Stock",N
G,Genpact Limited Common Stock,N
GAB,"Gabelli Equity Trust, Inc. (The) Common Stock",N
GAB$D,"Gabelli Equity Trust, Inc. (The) Preferred Stock Series D",N
GAB$G,"Gabelli Equity Trust, Inc. (The) Series G Cumulative Preferred Stock",N
GAB$H,"Gabelli Equity Trust, Inc. (The) Pfd Ser H",N
GAB$J,"Gabelli Equity Trust, Inc. (The) 5.45% Series J Cumulative Preferred Stock",N
GAM,"General American Investors, Inc. Common Stock",N
GAM$B,"General American Investors Company, Inc. Cumulative Preferred Stock",N
GATX,GATX Corporation Common Stock,N
GBAB,Guggenheim Taxable Municipal Managed Duration Trust Common Shares of Beneficial Interest,N
GBL,"Gamco Investors, Inc. Common Stock",N
GBX,"Greenbrier Companies, Inc. (The) Common Stock",N
GCAP,"GAIN Capital Holdings, Inc. Common Stock",N
GCH,"Aberdeen Greater China Fund, Inc. Common Stock",N
GCI,"Gannett Co., Inc. Common Stock",N
GCO,Genesco Inc. Common Stock,N
GCP,GCP Applied Technologies Inc. Common Stock,N
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock",N
GCV$B,"Gabelli Convertible and Income Securities Fund, Inc. (The) Series B 6.00% Cumulative Preferred Stock",N
GD,General Dynamics Corporation Common Stock,N
GDDY,GoDaddy Inc. Class A Common Stock,N
GDI,"Gardner Denver Holdings, Inc. Common Stock",N
GDL,"GDL Fund, The Common Shares of Beneficial Interest",N
GDL$B,The GDL Fund Series B Cumulative Puttable and Callable Preferred Shares,N
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,N
GDOT,"Green Dot Corporation Class A Common Stock, $0.001 par value",N
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,N
GDV$A,Gabelli Dividend & Income Tr Preferred Series A,N
GDV$D,Gabelli Dividend Pfd Series D,N
GDV$G,"Gabelli Dividend 5.25% Series G Cumulative Preferred Shares, par value $0.001 per share",N
GE,General Electric Company Common Stock,N
GEB,"General Electric Company 4.875% Notes due October 15, 2052",N
GEF,Greif Inc. Class A Common Stock,N
GEF.B,"Greif, Inc. Corporation Class B Common Stock",N
GEH,"General Electric Capital Corporation 4.876% Notes due January 29, 2053",N
GEK,"General Electric Capital Corporation 4.70% Notes due May 16, 2053",N
GEL,"Genesis Energy, L.P. Common Units",N
GEN,"Genesis Healthcare, Inc. Common Stock",N
GEO,Geo Group Inc (The) REIT,N
GER,Goldman Sachs MLP Energy Renaissance Fund,N
GES,"Guess?, Inc. Common Stock",N
GF,"New Germany Fund, Inc. (The) Common Stock",N
GFA,Gafisa SA Gafisa S.A. American Depositary Shares,N
GFF,Griffon Corporation Common Stock,N
GFI,Gold Fields Limited American Depositary Shares,N
GFY,Western Asset Variable Rate Strategic Fund Inc. Common Stock,N
GG,Goldcorp Inc. Common Stock,N
GGB,Gerdau S.A. Common Stock,N
GGG,Graco Inc. Common Stock,N
GGM,Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest,N
GGP,GGP Inc. Common Stock,N
GGP$A,GGP Inc. Preferred Series A,N
GGT,"Gabelli Multi-Media Trust, Inc. (The) Common Stock",N
GGT$B,"Gabelli Multi-Media Trust, Inc. (The) Preferred Series B",N
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,N
GGZ$A,Gabelli Global Small and Mid Cap Value Trust (The) 5.450% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),N
GHC,Graham Holdings Company Common Stock,N
GHL,"Greenhill & Co., Inc. Common Stock",N
GHM,Graham Corporation Common Stock,N
GHY,"Prudential Global Short Duration High Yield Fund, Inc. Common Stock",N
GIB,"CGI Group, Inc. Common Stock",N
GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",N
GIM,"Templeton Global Income Fund, Inc. Common Stock",N
GIMO,Gigamon Inc. Common Stock,N
GIS,"General Mills, Inc. Common Stock",N
GJH,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,N
GJO,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. on behalf of STRATS(SM) Trust for Wal-Mart Stores, Inc. Securities, Series 2004-5",N
GJP,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. on behalf of STRATS (SM) Trust for Dominion Resources, Inc. Securities, Series 2005-6, Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates",N
GJR,"Synthetic Fixed-Income Securities, Inc. STRATS Trust for Procter&Gamble Securities, Series 2006-1",N
GJS,"Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities, Series 2006-2",N
GJT,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates, Series 2006-3",N
